"id","post_id","channel_type","post_type","post_description","views_count","likes_count","comments_count","shares_count","hashtags","post_datetime","post_time","post_date"
1,Im8HPvQ0yys,youtube,video,"GoPro Awards recipient ""KWOON"" is one talented + creative musician. His dream is to play live music in the most spectacular places on Earth—in nature, the wild, + where nobody has played a guitar solo before. In this iteration of his dream, KWOON performed a live recording of a new song while his chrome guitar floated 101,000 feet into space via a weather balloon. Thanks to GPS tracking, he was able to find the landing site + recover the GoPro + its footage so you could enjoy this music video from the stratosphere.

--------------------------------------------------------
Recommended Gear:
HERO12 Black: https://GoPro.com/HERO12
Protective Housing: https://GoPro.com/ProtectiveHousing
Enduro Battery: https://GoPro.com/Enduro
--------------------------------------------------------

Shot 100% on GoPro: https://GoPro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/


For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #HyperSmooth #Space #Guitar #Music",9059,517,64,,"GoPro,HyperSmooth,Space,Guitar,Music","2023-10-06 20:15:01","20:15:01","2023-10-06"
2,a9PdU9xQeXk,youtube,video,It's rush hour on the Kenyan plains 🐘 $500 #GoProAwards recipient JC Pieri had his GoPro ready for the herd + was not disappointed with the footage when he returned to pick up his camera. #GoPro #Elephant #Africa #Wildlife #wildlifephotography,36251,2211,15,,"GoProAwards,GoPro,Elephant,Africa,Wildlife,wildlifephotography","2023-10-02 14:00:00","14:00:00","2023-10-02"
3,sB60FSm6fcw,youtube,video,"$500 #GoProAwards recipient Sajid Chougle lives life to the fullest. He slung himself into flight with this unique contraption above the Fjords of Norway. Shot on our 360° camera, #GoProMAX. #GoPro #HyperSmooth #BASE #BASEJumping #Norway #Fjords",283265,14688,66,,"GoProAwards,GoProMAX,GoPro,HyperSmooth,BASE,BASEJumping,Norway,Fjords","2023-10-01 14:00:38","14:00:38","2023-10-01"
4,XBoqsmBYG4Q,youtube,video,"GoPro | NHRA Drag Racing POV in Las Vegas 🎬 #Racing #LasVegas #Shorts

#GoProHERO12 Black + funny car 🤝 Hop onboard with Ron Capps Motorsports for a blazing fast 1/4 mile drag race at the Las Vegas Motor Speedway 🏁 #Vegas #LasVegas #Racing #DragRacing #Speed #NHRA",91775,4889,15,,"Racing,LasVegas,Shorts,GoProHERO12,Vegas,LasVegas,Racing,DragRacing,Speed,NHRA","2023-09-29 14:00:19","14:00:19","2023-09-29"
5,"0h1aX7fQn3Y",youtube,video,"#GoPro #GoProSnow #HyperSmooth #Skiing #SitSkiBoss

A feature documentary from Level 1, coming to theaters Fall 2023. Find a screening near you and learn more at https://fullcirclefilm.co/

Faced with a traumatic injury that renders you permanently disabled, how would you reinvent yourself? In 2014, Trevor Kennison's life was forever altered by a broken back - for worse and for better, in equal measures.

Full Circle is both an unblinking examination of the challenges of life after spinal cord injury... and a celebration of the opportunity for growth that such a tragedy can present.

Featuring Trevor Kennison and Barry Corbet. A Level 1 Production, in association with Abramorama and XYZ Films. Directed by Josh Berman, and made possible with support from Eddie Bauer, Volkl Skis, SPY+, Fat Tire, CMH Heli Skiing, GoPro, Jackson Hole, Ikon Pass, High Fives Foundation, the KHR Family Fund, and Darn Tough VT.

Follow Level 1 Productions: https://www.instagram.com/level1/
Follow Trevor Kennison: https://www.instagram.com/trevor_kennison/
Find a screening near you and learn more at https://fullcirclefilm.co/
For more from GoPro, check out The Current: https://gopro.com/news",19630,788,33,,"GoPro,GoProSnow,HyperSmooth,Skiing,SitSkiBoss","2023-09-29 13:00:02","13:00:02","2023-09-29"
6,tvjdwJg-Kfg,youtube,video,Could you keep up with Korbinian Engstler? 🚲💨 This high-speed mountain biking manual + speed run scored him a quick $500. #GoPro #GoProPOV #GoProMTB #HyperSmooth #Bike #DownhillMTB #POV #Speed #Austria,229196,17915,79,,"GoPro,GoProPOV,GoProMTB,HyperSmooth,Bike,DownhillMTB,POV,Speed,Austria","2023-09-28 16:30:53","16:30:53","2023-09-28"
7,Qom3kEymw_M,youtube,video,"Wait for the reveal 😮 You'll usually find #GoProAthlete Antoni Villoni on a MTB, but today he was jumping from a 3,600 ft cliff in Norway. Shot with 360° Video Mode on #GoProMAX. #GoPro #GoProPOV #HyperSmooth #BASE #BASEJumping #Norway #Lysefjord

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",2311976,136742,472,,"GoProAthlete,GoProMAX,GoPro,GoProPOV,HyperSmooth,BASE,BASEJumping,Norway,Lysefjord,GoPro","2023-09-23 14:00:31","14:00:31","2023-09-23"
8,RgwU5ePYu5A,youtube,video,"Freestyle Kayak World Champion, Dane Jackson has a flair for the extreme, which is why he traveled to Santo Domingo, Mexico to tame the rapids of the mighty Angel Wings Falls. With 4 waterfalls spanning 300 vertical feet in just 1/5 mile, this section of river is the steepest navigable whitewater sequence in the world. The first drop of the series is Angel Wings Falls. Clocking in at 80ft, it demands perfection + confidence—Dane's forte. Strap into the boat for his HERO12 Black POV of this beautiful + one-of-a-kind water feature.

--------------------------------------------------------
Products used in this video:
HERO12 Black: https://GoPro.com/HERO12
Max Lens Mod 2.0: https://GoPro.com/MaxLensMod2
Floaty: https://GoPro.com/shop/mounts-accessories/floaty-floating-camera-case/ADFLT-001.html
Adhesive Mounts: https://GoPro.com/shop/mounts-accessories/curved-plus-flat-adhesive-mounts/AACFT-001.html
--------------------------------------------------------

Shot 100% on GoPro: https://GoPro.com/
Get stoked and subscribe: http://goo.gl/HgVXpQ

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro #GoProPOV #GoProFPV #HyperSmooth #Kayak #Waterfall",47684,1317,43,,"GoPro,GoProPOV,GoProFPV,HyperSmooth,Kayak,Waterfall","2023-09-22 17:08:03","17:08:03","2023-09-22"
9,K4KUzJe4DRc,youtube,video,"Slippery when wet ⚠️ #GoProAthlete @remymetailler seems to find grip where no others can on this soaking wet trail in Quebec City. Shot on #GoProMAX. #GoPro #GoProPOV #HyperSmooth #GoProMTB #Bike #MTB #POV #DownhillMTB

Shot 100% on GoPro

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",308957,17322,86,,"GoProAthlete,GoProMAX,GoPro,GoProPOV,HyperSmooth,GoProMTB,Bike,MTB,POV,DownhillMTB,GoPro","2023-09-21 14:00:13","14:00:13","2023-09-21"
10,HzVJVIXGedc,youtube,video,"#GoProHERO12 Black experienced the thrill of his triple valveless pulsejet rocket car in Nevada's Black Rock Desert. Safe to say that Bob is living his best life 😎 #GoPro #HyperSmooth #GoProMoto #SaltFlats #Nevada #Speed

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ
GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro

Music Courtesy of Epidemic Sound
https://www.epidemicsound.com/

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",231050,11751,74,,"GoProHERO12,GoPro,HyperSmooth,GoProMoto,SaltFlats,Nevada,Speed,GoPro","2023-09-19 14:30:06","14:30:06","2023-09-19"
11,lWt1EgIpWPQ,youtube,video,"GoPro Awards recipient Sebastian Schieren took his #GoProFPV drone in for a closer view of this eruption when he traveled to Iceland #GoPro #HyperSmooth #FPV #Iceland #Volcano #Lava

For more GoPro videos, subscribe to our channel 👉 http://goo.gl/HgVXpQ
GoPro HERO12 Black 👉 https://GoPro.com/HERO12

Shot 100% on GoPro: https://GoPro.com

For more from GoPro, follow us:
Facebook: https://www.facebook.com/gopro
Twitter: https://twitter.com/gopro
Instagram: https://instagram.com/gopro
TikTok: https://www.tiktok.com/@gopro
The Current: https://gopro.com/news
GoPro: https://gopro.com/channel/
#GoPro",225590,12803,97,,"GoProFPV,GoPro,HyperSmooth,FPV,Iceland,Volcano,Lava,GoPro","2023-09-17 19:32:05","19:32:05","2023-09-17"
